Longitude (deg),Latitude (deg)
1.283649194670000497e+02,3.862433502800007545e+01
1.283947835810000697e+02,3.857807413300012911e+01
1.284414168630000859e+02,3.850580475500004241e+01
1.284506942070000832e+02,3.847410716400008823e+01
1.284744572270000162e+02,3.842609284100007017e+01
1.285627547540000251e+02,3.828896719000005078e+01
1.286316024100000277e+02,3.814496491100004505e+01
1.286428328790000251e+02,3.812929922100005342e+01
1.286787215500000912e+02,3.809430573100007678e+01
1.286924748060000638e+02,3.806492747600003668e+01
1.288591414720000330e+02,3.787677643400007810e+01
1.289238387380000859e+02,3.780231354400007149e+01
1.290013126960000136e+02,3.773436107000003403e+01
1.290122990240000718e+02,3.772724030200004108e+01
1.290642195970000330e+02,3.767885976800005210e+01
1.290669051440000885e+02,3.765843333500004064e+01
1.290671492850000277e+02,3.763385651200007942e+01
1.290733341810000638e+02,3.761302317900003800e+01
1.291087345710000136e+02,3.759739817900003800e+01
1.291189884770000162e+02,3.758063385600007678e+01
1.291482039720000330e+02,3.750511302300003535e+01
1.291612248060000638e+02,3.748761627800007545e+01
1.291768498060000638e+02,3.748016998900004637e+01
1.291899520190000885e+02,3.746938711100006003e+01
1.292354435560000638e+02,3.739826080900007810e+01
1.292627873060000638e+02,3.737091705900007810e+01
1.292722274100000277e+02,3.735586172100005342e+01
1.292758895190000885e+02,3.733991120000007413e+01
1.292828068370000665e+02,3.732444896000004064e+01
1.293310653000000912e+02,3.728217194200004769e+01
1.293464461600000277e+02,3.724750397300005034e+01
1.293601180350000277e+02,3.717177969000005078e+01
1.293789168630000859e+02,3.713011302300003535e+01
1.294301863940000885e+02,3.707306549700007281e+01
1.294340926440000885e+02,3.706110260600007678e+01
1.294282332690000885e+02,3.704954661700008955e+01
1.294189559250000912e+02,3.703851959800005034e+01
1.294130965500000912e+02,3.702773672100005342e+01
1.294126896490000718e+02,3.701805247600003668e+01
1.294199324880000859e+02,3.698676178600004505e+01
1.294287215500000912e+02,3.689740631700004769e+01
1.294379988940000885e+02,3.685614655200004108e+01
1.294712020190000885e+02,3.677187734600005342e+01
1.294738875660000303e+02,3.673061758000005739e+01
1.294634708990000718e+02,3.669245026200007942e+01
1.294409285820000832e+02,3.665778229400007149e+01
1.294226180350000277e+02,3.661664459800005034e+01
1.294228621750000912e+02,3.661497630400003800e+01
1.294279891290000251e+02,3.657566966400008823e+01
1.294416610040000251e+02,3.653465403900008823e+01
1.294471134770000162e+02,3.649331289300005210e+01
1.294409285820000832e+02,3.640794505400003800e+01
1.294348250660000303e+02,3.638959381700004769e+01
1.294039005870000665e+02,3.635944245000007413e+01
1.293918563160000303e+02,3.634247467700004108e+01
1.293865666020000162e+02,3.632269928600004505e+01
1.293823348320000832e+02,3.620184967700004108e+01
1.293857528000000912e+02,3.618545156500005078e+01
1.293918563160000303e+02,3.617633698100007678e+01
1.293985294930000691e+02,3.617267487200007281e+01
1.294039005870000665e+02,3.616762929900005474e+01
1.294096785820000832e+02,3.613361237200007281e+01
1.294170841810000638e+02,3.610757070500005739e+01
1.294251408210000136e+02,3.610301341400008823e+01
1.294305119150000110e+02,3.609739817900003800e+01
1.294267684250000912e+02,3.608177317900003800e+01
1.294187117850000277e+02,3.607298411700008955e+01
1.294082951180000691e+02,3.606891510600007678e+01
1.293984481130000859e+02,3.606631094000005078e+01
1.293817826680000280e+02,3.605517462200003820e+01
1.293808587170000237e+02,3.604148684400007596e+01
1.294019370430000890e+02,3.602566008400003739e+01
1.294170806210000819e+02,3.601191268600007334e+01
1.294330514750000702e+02,3.599610773200004132e+01
1.294533314100000325e+02,3.599328736800003981e+01
1.294790145190000885e+02,3.600958893400007810e+01
1.295425724620000665e+02,3.606590403900008823e+01
1.295547949580000022e+02,3.608247791500008361e+01
1.295712996750000912e+02,3.607184479400007149e+01
1.295749617850000277e+02,3.605467357000003403e+01
1.295820418630000859e+02,3.603681061400004637e+01
1.295872501960000136e+02,3.601691315300007545e+01
1.295716437530001031e+02,3.599712436400005799e+01
1.295355895530000225e+02,3.593903563200007056e+01
1.295328390550000677e+02,3.591301291100006665e+01
1.295221343100000695e+02,3.584455221300004268e+01
1.294962164990000701e+02,3.578507393500007083e+01
1.294976505870000665e+02,3.574787018400007810e+01
1.294711258950000001e+02,3.568322229800008927e+01
1.294515757040001063e+02,3.565180228300005183e+01
1.294430533920000244e+02,3.563609001100007845e+01
1.294513757610000084e+02,3.561824332300005835e+01
1.294605899080000881e+02,3.560929422300006308e+01
