Longitude (deg),Latitude (deg)
1.269401971269242466e+02,3.762187587796282173e+01
1.270962916110406269e+02,3.753575615993386805e+01
1.269394318127799295e+02,3.749201993647610465e+01
1.270337488300120157e+02,3.761275965718352410e+01
1.268396732117344357e+02,3.756111063673883876e+01
1.270623312118977282e+02,3.746805247819769846e+01
1.269898459613815191e+02,3.754870031838093070e+01
1.271357439491845440e+02,3.749009960472157843e+01
1.268826090531952673e+02,3.749793982327471298e+01
1.269901982496931936e+02,3.749547418477561678e+01
1.270724038294202529e+02,3.763569095185280844e+01
1.270544368958539536e+02,3.757413276609445063e+01
1.271600315673899217e+02,3.756117324070061869e+01
1.268425567233641118e+02,3.751676265790815279e+01
1.269844768674376638e+02,3.757950649199842275e+01
1.270436516753107981e+02,3.748800530517038965e+01
1.269957274642989233e+02,3.746704549564834252e+01
1.269107830519537714e+02,3.763646939791696155e+01
1.269334247884366675e+02,3.745080690080965979e+01
1.268950704453545058e+02,3.751935158356587863e+01
1.270185617072934718e+02,3.753977729336047986e+01
1.270098110364016435e+02,3.764334967512250074e+01
1.269697648305163113e+02,3.762180555249425140e+01
1.270817001221984128e+02,3.759247934974941785e+01
1.268740793882125502e+02,3.756585809158971045e+01
1.270338904940654601e+02,3.751526370383530917e+01
1.268162098049008222e+02,3.758731074965909613e+01
1.269584150980446253e+02,3.756861894068178032e+01
1.269652959904534697e+02,3.753154872341067261e+01
1.270696004243406918e+02,3.754534744358493725e+01
1.270659051627464464e+02,3.750463000500513999e+01
1.271368645739098042e+02,3.754643208264668175e+01
1.271075722351038877e+02,3.751167657834505320e+01
1.270583858142316842e+02,3.759981120258274956e+01
1.269616014304379377e+02,3.764501467624023689e+01
1.270700916206106541e+02,3.744693079731405305e+01
1.269114115456469989e+02,3.761308354175979218e+01
1.269989273192159374e+02,3.756330666598223900e+01
1.270590853944133585e+02,3.764181704831913322e+01
1.269958842943372019e+02,3.759649303346638050e+01
1.268322342512101955e+02,3.750095982907773617e+01
1.270567582649986917e+02,3.755716611550631256e+01
1.268528196091480993e+02,3.755120830636899143e+01
1.269343589933835830e+02,3.763704240599640372e+01
1.270192432269102909e+02,3.755533815289315669e+01
1.269522355019659159e+02,3.761289558654333831e+01
1.269811227642319693e+02,3.746581762321807929e+01
1.269087540822148412e+02,3.751605173572230001e+01
1.271481415997019155e+02,3.749314023387265138e+01
1.271277983672205920e+02,3.749739915797615453e+01
1.270484051025104009e+02,3.760440681005885466e+01
1.269915781222580762e+02,3.756291644174146427e+01
1.269169363268257769e+02,3.763885660282473822e+01
1.270591307954337736e+02,3.764727950726128824e+01
1.268396732117344357e+02,3.756111063673883876e+01
1.270583858142316842e+02,3.759981120258274956e+01
1.270591307954337736e+02,3.764727950726128824e+01
1.270338904940654601e+02,3.751526370383530917e+01
1.269811227642319693e+02,3.746581762321807929e+01
1.269169363268257769e+02,3.763885660282473822e+01
1.270544368958539536e+02,3.757413276609445063e+01
1.270484051025104009e+02,3.760440681005885466e+01
1.268425567233641118e+02,3.751676265790815279e+01
1.270185617072934718e+02,3.753977729336047986e+01
1.269522355019659159e+02,3.761289558654333831e+01
1.269087540822148412e+02,3.751605173572230001e+01
1.271075722351038877e+02,3.751167657834505320e+01
1.269394318127799295e+02,3.749201993647610465e+01
1.269915781222580762e+02,3.756291644174146427e+01
1.270700916206106541e+02,3.744693079731405305e+01
1.269652959904534697e+02,3.753154872341067261e+01
1.269584150980446253e+02,3.756861894068178032e+01
1.269958842943372019e+02,3.759649303346638050e+01
1.270192432269102909e+02,3.755533815289315669e+01
1.269401971269242466e+02,3.762187587796282173e+01
1.269616014304379377e+02,3.764501467624023689e+01
1.270962916110406269e+02,3.753575615993386805e+01
1.268162098049008222e+02,3.758731074965909613e+01
1.271277983672205920e+02,3.749739915797615453e+01
1.269697648305163113e+02,3.762180555249425140e+01
1.268740793882125502e+02,3.756585809158971045e+01
1.268528196091480993e+02,3.755120830636899143e+01
1.270436516753107981e+02,3.748800530517038965e+01
1.269107830519537714e+02,3.763646939791696155e+01
1.268322342512101955e+02,3.750095982907773617e+01
1.269114115456469989e+02,3.761308354175979218e+01
1.268950704453545058e+02,3.751935158356587863e+01
1.268826090531952673e+02,3.749793982327471298e+01
1.271368645739098042e+02,3.754643208264668175e+01
1.270696004243406918e+02,3.754534744358493725e+01
1.271481415997019155e+02,3.749314023387265138e+01
1.270623312118977282e+02,3.746805247819769846e+01
1.270337488300120157e+02,3.761275965718352410e+01
1.269901982496931936e+02,3.749547418477561678e+01
1.270659051627464464e+02,3.750463000500513999e+01
1.270567582649986917e+02,3.755716611550631256e+01
1.269334247884366675e+02,3.745080690080965979e+01
1.269957274642989233e+02,3.746704549564834252e+01
1.269898459613815191e+02,3.754870031838093070e+01
1.269844768674376638e+02,3.757950649199842275e+01
1.270590853944133585e+02,3.764181704831913322e+01
1.271357439491845440e+02,3.749009960472157843e+01
1.269343589933835830e+02,3.763704240599640372e+01
1.269989273192159374e+02,3.756330666598223900e+01
1.270817001221984128e+02,3.759247934974941785e+01
1.270098110364016435e+02,3.764334967512250074e+01
1.271600315673899217e+02,3.756117324070061869e+01
1.268396732117344357e+02,3.756111063673883876e+01
1.270724038294202529e+02,3.763569095185280844e+01
1.270583858142316842e+02,3.759981120258274956e+01
1.270591307954337736e+02,3.764727950726128824e+01
1.270338904940654601e+02,3.751526370383530917e+01
1.269811227642319693e+02,3.746581762321807929e+01
1.269169363268257769e+02,3.763885660282473822e+01
1.270544368958539536e+02,3.757413276609445063e+01
1.270484051025104009e+02,3.760440681005885466e+01
1.268425567233641118e+02,3.751676265790815279e+01
1.270185617072934718e+02,3.753977729336047986e+01
1.269522355019659159e+02,3.761289558654333831e+01
1.269087540822148412e+02,3.751605173572230001e+01
1.271075722351038877e+02,3.751167657834505320e+01
1.269394318127799295e+02,3.749201993647610465e+01
1.269915781222580762e+02,3.756291644174146427e+01
1.270700916206106541e+02,3.744693079731405305e+01
1.269652959904534697e+02,3.753154872341067261e+01
1.269584150980446253e+02,3.756861894068178032e+01
1.269958842943372019e+02,3.759649303346638050e+01
1.270192432269102909e+02,3.755533815289315669e+01
1.269401971269242466e+02,3.762187587796282173e+01
1.269616014304379377e+02,3.764501467624023689e+01
1.270962916110406269e+02,3.753575615993386805e+01
1.268162098049008222e+02,3.758731074965909613e+01
1.271277983672205920e+02,3.749739915797615453e+01
1.269697648305163113e+02,3.762180555249425140e+01
1.268740793882125502e+02,3.756585809158971045e+01
1.268528196091480993e+02,3.755120830636899143e+01
1.270436516753107981e+02,3.748800530517038965e+01
1.269107830519537714e+02,3.763646939791696155e+01
1.268322342512101955e+02,3.750095982907773617e+01
1.269114115456469989e+02,3.761308354175979218e+01
1.268950704453545058e+02,3.751935158356587863e+01
1.268826090531952673e+02,3.749793982327471298e+01
1.271368645739098042e+02,3.754643208264668175e+01
1.270696004243406918e+02,3.754534744358493725e+01
1.271481415997019155e+02,3.749314023387265138e+01
1.270623312118977282e+02,3.746805247819769846e+01
1.270337488300120157e+02,3.761275965718352410e+01
1.269901982496931936e+02,3.749547418477561678e+01
1.270659051627464464e+02,3.750463000500513999e+01
1.270567582649986917e+02,3.755716611550631256e+01
1.269334247884366675e+02,3.745080690080965979e+01
1.269957274642989233e+02,3.746704549564834252e+01
1.269898459613815191e+02,3.754870031838093070e+01
1.269844768674376638e+02,3.757950649199842275e+01
1.270590853944133585e+02,3.764181704831913322e+01
1.271357439491845440e+02,3.749009960472157843e+01
1.269343589933835830e+02,3.763704240599640372e+01
1.269989273192159374e+02,3.756330666598223900e+01
1.270817001221984128e+02,3.759247934974941785e+01
1.270098110364016435e+02,3.764334967512250074e+01
1.271600315673899217e+02,3.756117324070061869e+01
1.268396732117344357e+02,3.756111063673883876e+01
1.270724038294202529e+02,3.763569095185280844e+01
1.270583858142316842e+02,3.759981120258274956e+01
1.270591307954337736e+02,3.764727950726128824e+01
1.270338904940654601e+02,3.751526370383530917e+01
1.269811227642319693e+02,3.746581762321807929e+01
1.269169363268257769e+02,3.763885660282473822e+01
1.270544368958539536e+02,3.757413276609445063e+01
1.270484051025104009e+02,3.760440681005885466e+01
1.268425567233641118e+02,3.751676265790815279e+01
1.270185617072934718e+02,3.753977729336047986e+01
1.269522355019659159e+02,3.761289558654333831e+01
1.269087540822148412e+02,3.751605173572230001e+01
1.271075722351038877e+02,3.751167657834505320e+01
1.269394318127799295e+02,3.749201993647610465e+01
1.269915781222580762e+02,3.756291644174146427e+01
1.270700916206106541e+02,3.744693079731405305e+01
1.269652959904534697e+02,3.753154872341067261e+01
1.269584150980446253e+02,3.756861894068178032e+01
1.269958842943372019e+02,3.759649303346638050e+01
1.270192432269102909e+02,3.755533815289315669e+01
1.269401971269242466e+02,3.762187587796282173e+01
1.269616014304379377e+02,3.764501467624023689e+01
1.270962916110406269e+02,3.753575615993386805e+01
1.268162098049008222e+02,3.758731074965909613e+01
1.271277983672205920e+02,3.749739915797615453e+01
1.269697648305163113e+02,3.762180555249425140e+01
1.268740793882125502e+02,3.756585809158971045e+01
1.268528196091480993e+02,3.755120830636899143e+01
1.270436516753107981e+02,3.748800530517038965e+01
1.269107830519537714e+02,3.763646939791696155e+01
1.268322342512101955e+02,3.750095982907773617e+01
1.269114115456469989e+02,3.761308354175979218e+01
1.268950704453545058e+02,3.751935158356587863e+01
1.268826090531952673e+02,3.749793982327471298e+01
1.271368645739098042e+02,3.754643208264668175e+01
1.270696004243406918e+02,3.754534744358493725e+01
1.271481415997019155e+02,3.749314023387265138e+01
1.270623312118977282e+02,3.746805247819769846e+01
1.270337488300120157e+02,3.761275965718352410e+01
1.269901982496931936e+02,3.749547418477561678e+01
1.270659051627464464e+02,3.750463000500513999e+01
1.270567582649986917e+02,3.755716611550631256e+01
1.269334247884366675e+02,3.745080690080965979e+01
1.269957274642989233e+02,3.746704549564834252e+01
1.269898459613815191e+02,3.754870031838093070e+01
1.269844768674376638e+02,3.757950649199842275e+01
1.270590853944133585e+02,3.764181704831913322e+01
1.271357439491845440e+02,3.749009960472157843e+01
1.269343589933835830e+02,3.763704240599640372e+01
1.269989273192159374e+02,3.756330666598223900e+01
1.270817001221984128e+02,3.759247934974941785e+01
1.270098110364016435e+02,3.764334967512250074e+01
1.271600315673899217e+02,3.756117324070061869e+01
1.268396732117344357e+02,3.756111063673883876e+01
1.270724038294202529e+02,3.763569095185280844e+01
1.270583858142316842e+02,3.759981120258274956e+01
1.270591307954337736e+02,3.764727950726128824e+01
1.270338904940654601e+02,3.751526370383530917e+01
1.269811227642319693e+02,3.746581762321807929e+01
1.269169363268257769e+02,3.763885660282473822e+01
1.270544368958539536e+02,3.757413276609445063e+01
1.270484051025104009e+02,3.760440681005885466e+01
1.268425567233641118e+02,3.751676265790815279e+01
1.270185617072934718e+02,3.753977729336047986e+01
1.269522355019659159e+02,3.761289558654333831e+01
1.269087540822148412e+02,3.751605173572230001e+01
1.271075722351038877e+02,3.751167657834505320e+01
1.269394318127799295e+02,3.749201993647610465e+01
1.269915781222580762e+02,3.756291644174146427e+01
1.270700916206106541e+02,3.744693079731405305e+01
1.269652959904534697e+02,3.753154872341067261e+01
1.269584150980446253e+02,3.756861894068178032e+01
1.269958842943372019e+02,3.759649303346638050e+01
1.270192432269102909e+02,3.755533815289315669e+01
1.269401971269242466e+02,3.762187587796282173e+01
1.269616014304379377e+02,3.764501467624023689e+01
1.270962916110406269e+02,3.753575615993386805e+01
1.268162098049008222e+02,3.758731074965909613e+01
1.271277983672205920e+02,3.749739915797615453e+01
1.269697648305163113e+02,3.762180555249425140e+01
1.268740793882125502e+02,3.756585809158971045e+01
1.268528196091480993e+02,3.755120830636899143e+01
1.270436516753107981e+02,3.748800530517038965e+01
1.269107830519537714e+02,3.763646939791696155e+01
1.268322342512101955e+02,3.750095982907773617e+01
1.269114115456469989e+02,3.761308354175979218e+01
1.268950704453545058e+02,3.751935158356587863e+01
1.268826090531952673e+02,3.749793982327471298e+01
1.271368645739098042e+02,3.754643208264668175e+01
1.270696004243406918e+02,3.754534744358493725e+01
1.271481415997019155e+02,3.749314023387265138e+01
1.270623312118977282e+02,3.746805247819769846e+01
1.270337488300120157e+02,3.761275965718352410e+01
1.269901982496931936e+02,3.749547418477561678e+01
1.270659051627464464e+02,3.750463000500513999e+01
1.270567582649986917e+02,3.755716611550631256e+01
1.269334247884366675e+02,3.745080690080965979e+01
1.269957274642989233e+02,3.746704549564834252e+01
1.269898459613815191e+02,3.754870031838093070e+01
1.269844768674376638e+02,3.757950649199842275e+01
1.270590853944133585e+02,3.764181704831913322e+01
1.271357439491845440e+02,3.749009960472157843e+01
1.269343589933835830e+02,3.763704240599640372e+01
1.269989273192159374e+02,3.756330666598223900e+01
1.270817001221984128e+02,3.759247934974941785e+01
1.270098110364016435e+02,3.764334967512250074e+01
1.271600315673899217e+02,3.756117324070061869e+01
1.268396732117344357e+02,3.756111063673883876e+01
1.270724038294202529e+02,3.763569095185280844e+01
1.270583858142316842e+02,3.759981120258274956e+01
1.270591307954337736e+02,3.764727950726128824e+01
1.270338904940654601e+02,3.751526370383530917e+01
1.269811227642319693e+02,3.746581762321807929e+01
1.269169363268257769e+02,3.763885660282473822e+01
1.270544368958539536e+02,3.757413276609445063e+01
1.270484051025104009e+02,3.760440681005885466e+01
1.268425567233641118e+02,3.751676265790815279e+01
1.270185617072934718e+02,3.753977729336047986e+01
1.269522355019659159e+02,3.761289558654333831e+01
1.269087540822148412e+02,3.751605173572230001e+01
1.271075722351038877e+02,3.751167657834505320e+01
1.269394318127799295e+02,3.749201993647610465e+01
1.269915781222580762e+02,3.756291644174146427e+01
1.270700916206106541e+02,3.744693079731405305e+01
1.269652959904534697e+02,3.753154872341067261e+01
1.269584150980446253e+02,3.756861894068178032e+01
1.269958842943372019e+02,3.759649303346638050e+01
1.270192432269102909e+02,3.755533815289315669e+01
1.269401971269242466e+02,3.762187587796282173e+01
1.269616014304379377e+02,3.764501467624023689e+01
1.270962916110406269e+02,3.753575615993386805e+01
1.268162098049008222e+02,3.758731074965909613e+01
1.271277983672205920e+02,3.749739915797615453e+01
1.269697648305163113e+02,3.762180555249425140e+01
1.268740793882125502e+02,3.756585809158971045e+01
1.268528196091480993e+02,3.755120830636899143e+01
1.270436516753107981e+02,3.748800530517038965e+01
1.269107830519537714e+02,3.763646939791696155e+01
1.268322342512101955e+02,3.750095982907773617e+01
1.269114115456469989e+02,3.761308354175979218e+01
1.268950704453545058e+02,3.751935158356587863e+01
1.268826090531952673e+02,3.749793982327471298e+01
1.271368645739098042e+02,3.754643208264668175e+01
1.270696004243406918e+02,3.754534744358493725e+01
1.271481415997019155e+02,3.749314023387265138e+01
1.270623312118977282e+02,3.746805247819769846e+01
1.270337488300120157e+02,3.761275965718352410e+01
1.269901982496931936e+02,3.749547418477561678e+01
1.270659051627464464e+02,3.750463000500513999e+01
1.270567582649986917e+02,3.755716611550631256e+01
1.269334247884366675e+02,3.745080690080965979e+01
1.269957274642989233e+02,3.746704549564834252e+01
1.269898459613815191e+02,3.754870031838093070e+01
1.269844768674376638e+02,3.757950649199842275e+01
1.270590853944133585e+02,3.764181704831913322e+01
1.271357439491845440e+02,3.749009960472157843e+01
1.269343589933835830e+02,3.763704240599640372e+01
1.269989273192159374e+02,3.756330666598223900e+01
1.270817001221984128e+02,3.759247934974941785e+01
1.270098110364016435e+02,3.764334967512250074e+01
1.271600315673899217e+02,3.756117324070061869e+01
1.268396732117344357e+02,3.756111063673883876e+01
1.270724038294202529e+02,3.763569095185280844e+01
1.270583858142316842e+02,3.759981120258274956e+01
1.270591307954337736e+02,3.764727950726128824e+01
1.270338904940654601e+02,3.751526370383530917e+01
1.269811227642319693e+02,3.746581762321807929e+01
1.269169363268257769e+02,3.763885660282473822e+01
1.270544368958539536e+02,3.757413276609445063e+01
1.270484051025104009e+02,3.760440681005885466e+01
1.268425567233641118e+02,3.751676265790815279e+01
1.270185617072934718e+02,3.753977729336047986e+01
1.269522355019659159e+02,3.761289558654333831e+01
1.269087540822148412e+02,3.751605173572230001e+01
1.271075722351038877e+02,3.751167657834505320e+01
1.269394318127799295e+02,3.749201993647610465e+01
1.269915781222580762e+02,3.756291644174146427e+01
1.270700916206106541e+02,3.744693079731405305e+01
1.269652959904534697e+02,3.753154872341067261e+01
1.269584150980446253e+02,3.756861894068178032e+01
1.269958842943372019e+02,3.759649303346638050e+01
1.270192432269102909e+02,3.755533815289315669e+01
1.269401971269242466e+02,3.762187587796282173e+01
1.269616014304379377e+02,3.764501467624023689e+01
1.270962916110406269e+02,3.753575615993386805e+01
1.268162098049008222e+02,3.758731074965909613e+01
1.271277983672205920e+02,3.749739915797615453e+01
1.269697648305163113e+02,3.762180555249425140e+01
1.268740793882125502e+02,3.756585809158971045e+01
1.268528196091480993e+02,3.755120830636899143e+01
1.270436516753107981e+02,3.748800530517038965e+01
1.269107830519537714e+02,3.763646939791696155e+01
1.268322342512101955e+02,3.750095982907773617e+01
1.269114115456469989e+02,3.761308354175979218e+01
1.268950704453545058e+02,3.751935158356587863e+01
1.268826090531952673e+02,3.749793982327471298e+01
1.271368645739098042e+02,3.754643208264668175e+01
1.270696004243406918e+02,3.754534744358493725e+01
1.271481415997019155e+02,3.749314023387265138e+01
1.270623312118977282e+02,3.746805247819769846e+01
1.270337488300120157e+02,3.761275965718352410e+01
1.269901982496931936e+02,3.749547418477561678e+01
1.270659051627464464e+02,3.750463000500513999e+01
1.270567582649986917e+02,3.755716611550631256e+01
1.269334247884366675e+02,3.745080690080965979e+01
1.269957274642989233e+02,3.746704549564834252e+01
1.269898459613815191e+02,3.754870031838093070e+01
1.269844768674376638e+02,3.757950649199842275e+01
1.270590853944133585e+02,3.764181704831913322e+01
1.271357439491845440e+02,3.749009960472157843e+01
1.269343589933835830e+02,3.763704240599640372e+01
1.269989273192159374e+02,3.756330666598223900e+01
1.270817001221984128e+02,3.759247934974941785e+01
1.270098110364016435e+02,3.764334967512250074e+01
1.271600315673899217e+02,3.756117324070061869e+01
1.268396732117344357e+02,3.756111063673883876e+01
1.270724038294202529e+02,3.763569095185280844e+01
1.270583858142316842e+02,3.759981120258274956e+01
1.270591307954337736e+02,3.764727950726128824e+01
1.270338904940654601e+02,3.751526370383530917e+01
1.269811227642319693e+02,3.746581762321807929e+01
1.269169363268257769e+02,3.763885660282473822e+01
1.270544368958539536e+02,3.757413276609445063e+01
1.270484051025104009e+02,3.760440681005885466e+01
1.268425567233641118e+02,3.751676265790815279e+01
1.270185617072934718e+02,3.753977729336047986e+01
1.269522355019659159e+02,3.761289558654333831e+01
1.269087540822148412e+02,3.751605173572230001e+01
1.271075722351038877e+02,3.751167657834505320e+01
